Demographic,Very cool,Cool,Not so cool,Very uncool,Dont Know / No Opinion
National,0.6537899974598904,0.20960686416514238,0.05503221705652016,0.03247715740368491,0.049093763914762084
AK,0.6074163072021734,0.229714439312803,0.06622817969547933,0.045474143292972925,0.05116693049657134
AL,0.6407031300657705,0.20098350529684747,0.06384062500897619,0.036330595477027564,0.05814214415137825
AR,0.661302968686246,0.19455692990103945,0.05770885743843571,0.03163010303670355,0.05480114093757533
AZ,0.6600386760535136,0.2003098221015395,0.05810139585301243,0.029436506205085713,0.052113599786848736
CA,0.6643698923834273,0.21336494962699457,0.051358848456207924,0.01959295662772513,0.051313352905645204
CO,0.6450472000798625,0.21502470075386876,0.07138262109062771,0.023512647923521302,0.04503283015211975
CT,0.6419151894825991,0.22033746207940944,0.06311497055901591,0.025636108425225186,0.048996269453750615
DC,0.7413938118249659,0.16098462539962988,0.035677868162990095,0.017510155868963196,0.0444335387434508
DE,0.6702271898275424,0.20659828063530059,0.05229702216110539,0.024996792357172167,0.04588071501887954
FL,0.6929016212940873,0.18217254698379934,0.053091367663212846,0.024504984663955662,0.04732947939494494
GA,0.6430937697353502,0.2152627596590666,0.06346899223269441,0.025831566031556986,0.05234291234133183
HI,0.6990751206952543,0.18925505903325085,0.046114696285171924,0.021977349145393694,0.043577774840929125
IA,0.6718359548464803,0.1890039292847538,0.05827892851439238,0.03010352096444246,0.05077766638993096
ID,0.5773018426552874,0.26985559352807514,0.07680646246726254,0.027166927305529814,0.04886917404384503
IL,0.6606771889975641,0.20721872253688872,0.05633668156974574,0.027786918406058864,0.047980488489742644
IN,0.5991887896572133,0.230780064029747,0.08193108947229583,0.041079774275670854,0.04702028256507297
KS,0.6731891284751736,0.19835314351543695,0.05348503468011657,0.02837082804360487,0.046601865285667864
KY,0.6714424112648659,0.18861652617473632,0.05377566615851689,0.03284433351601244,0.05332106288586859
LA,0.5933273478795004,0.25091865355166015,0.07196699648894668,0.031843960209365585,0.05194304187052716
MA,0.7072359238091989,0.17728874041653422,0.04939161511643909,0.023345308166991856,0.04273841249083583
MD,0.6798538155629021,0.1978622726549835,0.05356140028136933,0.02382677632559406,0.04489573517515086
ME,0.7195463118274373,0.16065359206123608,0.04410712396850778,0.027986005015045584,0.04770696712777312
MI,0.6698675054269169,0.1945963361101132,0.05628983795622391,0.025266019135974142,0.05398030137077177
MN,0.6764404700300762,0.19792199033052815,0.058381900049776926,0.023774573419419777,0.04348106617019889
MO,0.6761547377444767,0.18269562791229682,0.05851404448150299,0.027963039203183545,0.05467255065854001
MS,0.6749321650149898,0.1731101252270794,0.05461335191208193,0.037181407442133926,0.060162950403714846
MT,0.6426074367589487,0.21945695588873615,0.05840880341267284,0.02936898672506301,0.05015781721457928
NC,0.6933504711994053,0.18867794349785907,0.04169071106947717,0.024370841435115757,0.051910032798142706
ND,0.6054039314317663,0.23225518720323987,0.07942994252919361,0.032465188187945124,0.05044575064785511
NE,0.6236311757654948,0.24296865393672143,0.05807008107503846,0.029405954571405893,0.04592413465133936
NH,0.6748038069995188,0.19425928238594303,0.06038468209738652,0.02710435870052645,0.04344786981662531
NJ,0.677047322525146,0.19631507850109475,0.05800396477581738,0.027023093724938375,0.04161054047300357
NM,0.7180886270050478,0.16382039678386,0.04023890279978075,0.026864851130860075,0.050987222280451223
NV,0.6894301053783193,0.1857344458052148,0.04698900289868796,0.027118898624443447,0.05072754729333446
NY,0.6762224167906006,0.20703209509774612,0.0457890738239762,0.02122003525843293,0.04973637902924431
OH,0.6449650484702903,0.22021926741448408,0.05271828348302779,0.028016977668395938,0.054080422963801895
OK,0.6537899974598904,0.20960686416514238,0.05503221705652016,0.03247715740368491,0.049093763914762084
OR,0.7141765533934401,0.16521862531937778,0.04677578100891115,0.025839044376891558,0.04798999590137947
PA,0.7000275261567672,0.18522487477121477,0.04763257941800048,0.02430343496546494,0.0428115846885526
RI,0.6977265017618771,0.1851660951633604,0.04643994181838628,0.024489904721477294,0.04617755653489894
SC,0.6412838738291362,0.21648011063940298,0.06066804901701623,0.02778964336455679,0.053778323149887855
SD,0.6521583618533574,0.20888119288017792,0.054809636970918736,0.03296315856425601,0.05118764973128975
TN,0.7073447226774299,0.169147781165525,0.047436804815691354,0.02736974700260142,0.048700944338752314
TX,0.6582808260351116,0.20204606874033987,0.06165540447931605,0.02517259631093245,0.052845104434299905
UT,0.6646500563361981,0.20693515960696318,0.058015978281358425,0.023248402952982763,0.0471504028224975
VA,0.6533184356222663,0.21834251798986212,0.05022377025252119,0.029841003941447022,0.04827427219390333
VT,0.7403834944004426,0.156175628376608,0.03526595900478998,0.023232915666080642,0.04494200255207877
WA,0.6653054137434942,0.21335819582971358,0.05595898433109255,0.022641225081171813,0.04273618101452792
WI,0.6868344787341245,0.19741860510595818,0.04515461942426121,0.02270947665667863,0.04788282007897741
WV,0.6518584744952334,0.20257579171853665,0.05871494095521169,0.0356545250280296,0.051196267802988735
WY,0.6121222083298803,0.21623914690900745,0.07583507249443201,0.04420219023661796,0.05160138203006221
